Rk,Player,Pos,Age,Tm,G,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
49,Bird Averitt,SG,22,KEN,84,2031,13,0.476,0.046,0.316,2.6,6.5,4.5,22.2,2,0.4,16.7,26.9,,-0.4,3,2.6,0.061,,-1.5,-0.2,-1.7,0.1
50,Mike Gale,PG,24,NYA,72,1624,12.7,0.503,0.047,0.185,6.2,8.5,7.4,12.5,2.5,1.6,17.3,15.8,,0.7,2.7,3.4,0.1,,-0.6,1.6,1.1,1.2
51,John Williamson,SG,23,NYA,75,1872,12.6,0.52,0.017,0.191,2.8,5.2,4,14,1.5,0.7,15.1,21,,1,2.2,3.3,0.083,,-1.5,-0.4,-2,0
52,Ted McClain,SG,28,KEN,72,1971,12.3,0.48,0.014,0.237,3.4,10.1,6.8,23.5,3.1,0.4,20.6,16.2,,0.3,3.8,4.1,0.099,,-2,2.7,0.7,1.3
53,Jan van Breda Kolff,SF,23,DNA,84,1639,11.9,0.56,0.009,0.617,8.3,14.7,11.7,12.6,1.3,1.4,21.9,12.9,,1.9,1.9,3.8,0.111,,0.2,0.7,0.9,1.2
54,Don Buse,PG,24,INA,80,2369,11.7,0.491,0.246,0.118,3.3,8,5.5,16.3,3.2,0.3,15.3,9.9,,2.4,2.2,4.6,0.094,,-1.1,2.1,0.9,1.8
55,Tim Bassett,PF,23,SDA,72,1998,11.4,0.492,0.008,0.282,10,15.5,12.7,7.1,1,0.9,14.3,13.1,,1.3,1.1,2.4,0.057,,-1.1,-0.7,-1.8,0.1
56,Kevin Joyce,SG,23,INA,81,2828,11.2,0.457,0.034,0.145,1.9,3.7,2.8,14.7,1.7,0.4,10.2,19.6,,1.8,1.2,3,0.05,,-2.2,-1,-3.2,-0.9
57,Larry Finch,SG,23,MMS,63,1888,10.7,0.509,0.089,0.224,2.3,5.5,3.9,13.6,1.3,0.2,12.1,16.4,,1.4,0.3,1.7,0.044,,-2.2,-1,-3.2,-0.6
58,Steve Jones,SG,32,SSL,69,1884,10.5,0.503,0.029,0.315,2.2,8.2,5.1,13.4,1.3,0.2,16.5,18,,0.9,0.7,1.6,0.042,,-2.1,-1.2,-3.3,-0.6
59,Jimmy O'Brien,PG,24,SDA,79,2036,10.1,0.467,0.065,0.27,2.3,6.5,4.4,25.9,2,0,24.6,14.7,,-0.5,0.6,0.2,0.004,,-2.6,-1,-3.6,-0.8
60,Fatty Taylor,PG,28,DNA,76,2018,9.9,0.481,0.036,0.294,4.7,6.8,5.8,19.7,3.8,0.4,27.3,17.1,,-1.5,2.7,1.2,0.029,,-2.6,1.4,-1.1,0.5
61,Al Smith,PG,28,UTS,80,2037,9.2,0.481,0.162,0.332,2.1,5.3,3.8,25.5,1.4,0.1,23.2,17.7,,-0.3,1.3,0.9,0.022,,-2.5,-1.1,-3.6,-0.8
62,Darrell Elston,SG,22,VIR,72,1869,9,0.447,0.029,0.201,2.6,6.6,4.6,15.7,2.1,0.3,15.9,17.1,,-1,0.8,-0.1,-0.003,,-3.2,0,-3.1,-0.5
63,Gerald Govan,PF,33,UTS,84,2791,7.7,0.434,0.003,0.174,4.7,17.3,11.3,11,1.3,0.7,23.1,12.5,,-2.3,3.2,1,0.017,,-2.8,1.1,-1.8,0.2
64,Barry Parkhill,SG,23,VIR,78,1870,6.6,0.445,0.013,0.157,1.5,6.1,3.7,17.8,1.3,0.3,20,18.4,,-2.3,0.5,-1.8,-0.047,,-4.6,-1.2,-5.8,-1.8
